Date,Symbol,Order,Shares
2010-01-20,ML4T-399,SELL,100
2010-01-21,ML4T-399,SELL,100
2010-01-22,ML4T-399,SELL,100
2010-01-25,ML4T-399,BUY,300
2010-01-26,ML4T-399,BUY,100
2010-01-27,ML4T-399,BUY,100
2010-01-28,ML4T-399,BUY,100
2010-01-29,ML4T-399,BUY,100
2010-02-01,ML4T-399,BUY,100
2010-02-02,ML4T-399,BUY,100
2010-02-04,ML4T-399,SELL,300
2010-02-05,ML4T-399,SELL,100
2010-02-08,ML4T-399,SELL,100
2010-02-09,ML4T-399,SELL,100
2010-02-10,ML4T-399,SELL,100
2010-02-11,ML4T-399,SELL,100
2010-02-12,ML4T-399,SELL,100
2010-02-16,ML4T-399,BUY,300
2010-02-17,ML4T-399,BUY,100
2010-02-18,ML4T-399,BUY,100
2010-02-19,ML4T-399,BUY,100
2010-02-22,ML4T-399,BUY,100
2010-02-23,ML4T-399,BUY,100
2010-02-24,ML4T-399,BUY,100
2010-02-26,ML4T-399,SELL,300
2010-03-01,ML4T-399,SELL,100
2010-03-02,ML4T-399,SELL,100
2010-03-03,ML4T-399,SELL,100
2010-03-04,ML4T-399,SELL,100
2010-03-05,ML4T-399,SELL,100
2010-03-08,ML4T-399,SELL,100
2010-03-09,ML4T-399,BUY,300
2010-03-10,ML4T-399,BUY,100
2010-03-11,ML4T-399,BUY,100
2010-03-12,ML4T-399,BUY,100
2010-03-15,ML4T-399,BUY,100
2010-03-16,ML4T-399,BUY,100
2010-03-17,ML4T-399,BUY,100
2010-03-19,ML4T-399,SELL,300
2010-03-22,ML4T-399,SELL,100
2010-03-23,ML4T-399,SELL,100
2010-03-24,ML4T-399,SELL,100
2010-03-25,ML4T-399,SELL,100
2010-03-26,ML4T-399,SELL,100
2010-03-29,ML4T-399,SELL,100
2010-03-30,ML4T-399,BUY,300
2010-03-31,ML4T-399,BUY,100
2010-04-01,ML4T-399,BUY,100
2010-04-05,ML4T-399,BUY,100
2010-04-06,ML4T-399,BUY,100
2010-04-07,ML4T-399,BUY,100
2010-04-08,ML4T-399,BUY,100
2010-04-09,ML4T-399,BUY,100
2010-04-12,ML4T-399,SELL,400
2010-04-13,ML4T-399,SELL,100
2010-04-14,ML4T-399,SELL,100
2010-04-15,ML4T-399,SELL,100
2010-04-16,ML4T-399,SELL,100
2010-04-19,ML4T-399,SELL,100
2010-04-20,ML4T-399,SELL,100
2010-04-21,ML4T-399,BUY,200
2010-04-22,ML4T-399,BUY,100
2010-04-23,ML4T-399,BUY,100
2010-04-26,ML4T-399,BUY,100
2010-04-27,ML4T-399,BUY,100
2010-04-28,ML4T-399,BUY,100
2010-04-29,ML4T-399,BUY,100
2010-04-30,ML4T-399,BUY,100
2010-05-03,ML4T-399,SELL,500
2010-05-04,ML4T-399,SELL,100
2010-05-05,ML4T-399,SELL,100
2010-05-06,ML4T-399,SELL,100
2010-05-07,ML4T-399,SELL,100
2010-05-10,ML4T-399,SELL,100
2010-05-11,ML4T-399,SELL,100
2010-05-12,ML4T-399,BUY,100
2010-05-13,ML4T-399,BUY,100
2010-05-14,ML4T-399,BUY,100
2010-05-17,ML4T-399,BUY,100
2010-05-18,ML4T-399,BUY,100
2010-05-19,ML4T-399,BUY,100
2010-05-20,ML4T-399,BUY,100
2010-05-21,ML4T-399,BUY,100
2010-05-24,ML4T-399,SELL,600
2010-05-25,ML4T-399,SELL,100
2010-05-26,ML4T-399,SELL,100
2010-05-27,ML4T-399,SELL,100
2010-05-28,ML4T-399,SELL,100
2010-06-01,ML4T-399,SELL,100
2010-06-02,ML4T-399,SELL,100
2010-06-04,ML4T-399,BUY,0
2010-06-07,ML4T-399,BUY,100
2010-06-08,ML4T-399,BUY,100
2010-06-09,ML4T-399,BUY,100
2010-06-10,ML4T-399,BUY,100
2010-06-11,ML4T-399,BUY,100
2010-06-14,ML4T-399,BUY,100
2010-06-15,ML4T-399,SELL,600
2010-06-16,ML4T-399,SELL,100
2010-06-17,ML4T-399,SELL,100
2010-06-18,ML4T-399,SELL,100
2010-06-21,ML4T-399,SELL,100
2010-06-22,ML4T-399,SELL,100
2010-06-23,ML4T-399,SELL,100
2010-06-25,ML4T-399,BUY,0
2010-06-28,ML4T-399,BUY,100
2010-06-29,ML4T-399,BUY,100
2010-06-30,ML4T-399,BUY,100
2010-07-01,ML4T-399,BUY,100
2010-07-02,ML4T-399,BUY,100
2010-07-06,ML4T-399,BUY,100
2010-07-07,ML4T-399,SELL,600
2010-07-08,ML4T-399,SELL,100
2010-07-09,ML4T-399,SELL,100
2010-07-12,ML4T-399,SELL,100
2010-07-13,ML4T-399,SELL,100
2010-07-14,ML4T-399,SELL,100
2010-07-15,ML4T-399,SELL,100
2010-07-16,ML4T-399,SELL,100
2010-07-19,ML4T-399,BUY,100
2010-07-20,ML4T-399,BUY,100
2010-07-21,ML4T-399,BUY,100
2010-07-22,ML4T-399,BUY,100
2010-07-23,ML4T-399,BUY,100
2010-07-26,ML4T-399,BUY,100
2010-07-27,ML4T-399,BUY,100
2010-07-29,ML4T-399,SELL,500
2010-07-30,ML4T-399,SELL,100
2010-08-02,ML4T-399,SELL,100
2010-08-03,ML4T-399,SELL,100
2010-08-04,ML4T-399,SELL,100
2010-08-05,ML4T-399,SELL,100
2010-08-06,ML4T-399,SELL,100
2010-08-09,ML4T-399,BUY,100
2010-08-10,ML4T-399,BUY,100
